symbol,start,end
COLPAL,2008-12-29,
CONCOR,2000-01-12,
CONCORDBIO,2024-02-26,
CONSCOFFEE,2022-05-04,2023-04-04
CONSOFINVT,2005-09-26,2010-04-08
COREEDUTEC,2011-03-25,2014-09-19
COROMANDEL,2002-09-19,
COSMOFIRST,1998-08-01,2011-10-10
COX&KINGS,2011-03-25,2018-06-29
COX&KINGS,2019-03-29,2019-12-26
CPPLUS,2026-05-30,
CRAFTSMAN,2023-04-04,
CREATIVEYE,2002-03-29,2005-09-26
CREDITACC,2019-01-28,
CRESTANI,2000-05-24,2009-10-22
CRISIL,1998-08-01,
CROMPTON,2016-11-15,
CSBBANK,2020-06-26,2026-05-30
CUB,2002-04-23,
CUMMINSIND,1998-08-01,
CYBERTECH,2000-09-03,2005-09-26
CYIENT,2002-01-29,
DABUR,1998-08-01,
DALBHARAT,2016-04-01,2018-04-02
DALBHARAT,2019-06-28,
DALMIASUG,1998-08-01,2010-09-24
DATAPATTNS,2023-04-04,
DBCORP,2013-06-11,2022-05-04
DBL,2017-03-31,2023-04-04
DBREALTY,2010-09-24,2018-09-28
DCAL,2018-04-02,2022-05-04
DCBBANK,2011-10-10,2022-05-04
DCHL,2006-05-17,2013-01-23
DCMDAEWOO,1998-08-01,2002-09-19
DCMSHRIRAM,2002-01-17,
DCW,1998-08-01,2015-03-27
DEEPAKFERT,1998-08-01,2002-09-19
DEEPAKFERT,2003-04-01,2019-09-27
DEEPAKFERT,2022-10-09,
DEEPAKNTR,2019-03-29,
DELHIVERY,2022-10-09,
DELTACORP,2011-03-25,2026-05-30
DEN,2013-04-01,2019-03-29
DEN,2019-09-27,2019-12-27
DEVYANI,2022-05-04,
DEWANHOUS,2011-10-10,2020-06-26
DHAMPURSUG,1998-08-01,2012-04-27
DHANBANK,2011-10-10,2016-04-01
DHANI,2017-09-29,2023-04-04
DHANUKA,2016-04-01,2018-04-02
DHANUKA,2020-06-26,2022-05-04
DICIND,1998-08-01,2009-03-27
DIGITALEQP,1998-08-01,2004-04-12
DIGJAMLMTD,1998-08-01,2005-09-26
DISAQ,2012-04-27,2012-09-28
DISHTV,2011-08-29,2013-09-27
DISHTV,2016-04-01,2022-05-04
DIVISLAB,2003-11-21,
DIXON,2018-04-02,
DLF,2007-12-07,
DMART,2017-09-29,
DOMS,2026-05-30,
DONEAR,2007-09-24,2010-04-08
DRBECK,1998-08-01,2002-04-23
DRDATSONS,2013-04-01,2014-03-28
DREDGECORP,2004-08-27,2019-03-29
DRREDDY,1998-08-01,
DUMMYVEDL1,2026-05-30,2026-08-05
DUMMYVEDL2,2026-05-30,2026-08-05
DUMMYVEDL3,2026-05-30,2026-08-05
DUMMYVEDL4,2026-05-30,2026-08-05
DWARKESH,2005-09-26,2011-03-25
DYNAMATECH,2009-03-27,2014-03-28
DYNAMATECH,2015-02-02,2017-03-31
E-SERVEINT,1999-05-26,2004-12-10
EASEMYTRIP,2022-05-04,2026-05-30
ECLERX,2011-10-10,
EDELWEISS,2008-05-21,2024-02-26
EICHERMOT,2002-04-23,
EIDPARRY,1998-08-01,
EIHOTEL,1998-08-01,
EKC,2009-10-22,2012-09-28
ELECON,1998-08-01,2002-03-29
ELECON,2026-05-30,
ELECTCAST,1998-08-01,2016-09-30
ELGIEQUIP,1998-08-01,2016-09-30
ELGIEQUIP,2018-09-28,
ELGIRUBCO,1999-09-08,2008-04-23
EMAMILTD,2011-03-25,
EMBDL,2007-09-10,2011-04-21
EMBDL,2011-06-21,2011-12-07
EMBDL,2012-03-09,2024-02-26
EMCURE,2026-05-30,
EMMVEE,2026-05-30,
ENDURANCE,2017-03-31,
ENGINERSIN,2000-12-13,
ENIL,2007-04-04,2016-04-01
ENRIN,2026-05-30,
EPIGRAL,2023-04-04,2026-05-30
EPL,1998-08-01,2018-04-02
EPL,2019-03-29,2026-05-30
EQUITASBNK,2022-05-04,2026-05-30
ERAINFRA,2006-11-08,2014-09-19
ERIS,2018-03-13,2022-10-09
ERIS,2024-02-26,
ESABINDIA,1998-08-01,2016-04-01
ESABINDIA,2020-06-26,2022-05-04
ESCORTS,1998-08-01,
ESSARPORTS,1998-08-01,2001-12-07
ESSARPORTS,2008-09-10,2011-05-18
ETERNAL,2022-05-04,
EVEREADY,1999-02-03,2005-03-15
EVEREADY,2015-09-28,2019-03-29
EVERESTIND,1998-08-01,2011-10-10
EXIDEIND,1998-08-01,
FACT,2003-04-01,2006-03-02
FACT,2022-05-04,
FCONSUMER,2011-11-22,2013-06-11
FCONSUMER,2015-03-27,
FDC,1998-08-01,2017-09-29
FDC,2018-09-28,2026-05-30
FEL,2003-04-01,2010-09-17
FEL,2011-03-25,2013-04-17
FEL,2013-11-18,2015-12-14
FEL,2017-03-16,2017-10-30
FEL,2018-06-29,2020-07-24
FGPIND,1998-08-01,1999-12-08
FINCABLES,1998-08-01,
FINEORG,2019-03-29,2026-05-30
FINPIPE,1998-08-01,2026-05-30
FIRSTCRY,2026-05-30,
FIVESTAR,2023-04-04,
FKONCO,2005-04-13,2013-11-18
FLEXCHEM,2001-08-31,2006-12-15
FLEXITUFF,2012-09-28,2016-04-01
FLFL,2015-09-28,2017-03-31
FLFL,2017-09-29,2020-06-26
FLUOROCHEM,1998-08-01,2019-06-28
FLUOROCHEM,2020-06-26,
FMGOETZE,1998-08-01,2016-04-01
FMGOETZE,2017-03-31,2017-09-29
FMGOETZE,2019-09-27,2020-06-26
FORCEMOT,1998-08-01,2001-04-25
FORCEMOT,2026-05-30,
FORTIS,2008-09-10,2018-02-05
FORTIS,2018-12-28,
FOSECOIND,1998-08-01,2009-03-27
FSL,2007-12-26,
FSS,2000-05-24,2006-02-03
GABRIEL,2013-04-01,2016-04-01
GABRIEL,2026-05-30,
GAEL,2003-05-02,2012-09-28
GAEL,2022-05-04,2026-05-30
GAIL,1998-08-01,
GALAXYSURF,2018-09-28,2026-05-30
GALLANTT,2026-05-30,
GANESHBE,1998-08-01,2002-04-23
GARFIBRES,1998-08-01,2002-09-19
GARFIBRES,2019-09-27,2024-02-26
GATEWAY,2005-09-26,2019-09-27
GAYAPROJ,2015-12-14,2017-11-20
GAYAPROJ,2018-09-28,2020-06-26
GBGLOBAL,2012-09-28,2015-12-14
GEODESIC,2013-04-17,2013-09-27
GEOJITFSL,2007-04-04,2016-04-01
GEOMETRIC,2002-03-29,2016-04-01
GEORGWILIM,2002-03-29,2006-07-14
GHCL,1998-08-01,2016-04-01
GHCL,2017-03-31,2022-05-04
GICRE,2018-04-02,
GILLETTE,1998-08-01,2022-05-04
GILLETTE,2024-02-26,
GIPCL,1998-08-01,2016-04-01
GLAND,2022-05-04,
GLAXO,1998-08-01,
GLENMARK,2001-04-25,
GLFL,1998-08-01,2001-04-25
GLOBOFFS,2016-04-01,2016-09-30
GMDCLTD,1999-05-26,2022-05-04
GMDCLTD,2026-05-30,
GMMPFAUDLR,2020-06-26,2026-05-30
GMRAIRPORT,2006-12-15,2022-05-04
GMRAIRPORT,2022-10-09,
GNFC,1998-08-01,2016-04-01
GNFC,2017-03-31,2026-05-30
GOCOLORS,2022-05-04,2026-05-30
GODAVRFERT,1998-08-01,2002-09-19
GODAVRFERT,2003-04-01,2008-02-15
GODFRYPHLP,1998-08-01,
GODIGIT,2026-05-30,
GODREJAGRO,2018-04-02,2024-02-26
GODREJCP,2002-11-11,
GODREJIND,1998-08-01,2002-07-18
GODREJIND,2004-03-15,
GODREJPROP,2011-03-25,
GOKEX,2006-03-02,2011-03-25
GOLDENTOBC,1998-08-01,1999-05-26
GOODYEAR,1998-08-01,2002-09-19
GPIL,2024-02-26,
GPPL,2011-10-10,2026-05-30
GRANULES,2016-04-01,
GRAPHITE,2002-09-19,2016-04-01
GRAPHITE,2018-04-02,
GRASIM,1998-08-01,2010-05-26
GRASIM,2010-08-31,2017-05-26
GRASIM,2018-04-02,
GRAVITA,2026-05-30,
GREAVESCOT,1998-08-01,2002-09-19
GREAVESCOT,2006-03-02,2022-05-04
GREENPANEL,2022-10-09,2024-02-26
GREENPLY,2016-04-01,2019-03-29
GRINDWELL,1998-08-01,2002-04-23
GRINDWELL,2016-04-01,2017-09-29
GRINDWELL,2018-09-28,2026-05-30
GRINFRA,2022-05-04,2026-05-30
GROWW,2026-05-30,
GRSE,2020-06-26,2022-05-04
GRSE,2026-05-30,
GSFC,1998-08-01,2026-05-30
GSKCONS,1998-08-01,2019-09-27
GSLNOVA,2002-04-23,2007-09-24
GTL,1998-08-01,2013-04-01
GTLINFRA,2007-09-24,2012-09-28
GTLINFRA,2013-04-01,2016-04-01
GTNIND,1998-08-01,2007-04-04
GTOFFSHORE,2009-10-22,2014-09-19
GUJALKALI,1998-08-01,2000-09-03
GUJALKALI,2017-03-31,2026-05-30
GUJENERGY,1998-08-01,2015-02-02
GUJENERGY,2016-04-01,2026-05-30
GULFOILLUB,2015-03-27,2016-04-01
GULFOILLUB,2016-04-29,2022-05-04
