symbol,entry_date,entry_price,exit_date,exit_price,qty,pnl_rs,pnl_pct,hold_days,status
ZYDUSWELL,2019-01-31,248.76168823242188,2019-03-31,254.1330108642578,1437.808882954803,7722.935393269882,0.02159224223795042,59,closed
ASTRAL,2019-01-31,503.3202819824219,2019-03-31,510.7063903808594,710.6245821659555,5248.750194472103,0.014674768060897403,59,closed
NAUKRI,2019-02-28,348.5185852050781,2019-09-30,393.9617004394531,1014.3595598533062,46095.658367503696,0.13038935988918632,214,closed
ABFRL,2019-02-28,222.0798492431641,2019-09-30,208.3292236328125,1591.8740934583102,-21889.264677963063,-0.06191748444180312,214,closed
RELIANCE,2019-02-28,544.9086303710938,2019-07-31,516.2257690429688,648.7751138178223,-18608.72662277511,-0.05263792813960644,153,closed
TORNTPHARM,2019-02-28,822.0526733398438,2019-05-31,713.8873291015625,430.0492780505447,-46516.428199761496,-0.13157957847010704,92,closed
HAVELLS,2019-02-28,679.5361938476562,2019-06-30,746.7916870117188,520.2418383156433,34989.12140049706,0.09897264306592679,122,closed
DABUR,2019-02-28,404.8045349121094,2019-04-30,367.8865661621094,873.3181775398749,-32241.133187224055,-0.09119949399286142,61,closed
BERGEPAINT,2019-02-28,245.3330841064453,2019-03-31,260.9404602050781,1440.9925998237284,22490.113460795616,0.06361708676788602,31,closed
ATUL,2019-02-28,3262.030029296875,2019-03-31,3423.099609375,108.37520056966531,17455.948046638565,0.04937709911666355,31,closed
CUB,2019-02-28,131.96893310546875,2019-03-31,144.84568786621094,2678.8362258470825,34494.71712442505,0.09757413701640805,31,closed
AXISBANK,2019-03-31,775.8910522460938,2019-08-31,660.6300048828125,479.5583290105625,-55274.395273542454,-0.14855313388344538,153,closed
TEAMLEASE,2019-03-31,3021.449951171875,2019-04-30,2968.050048828125,123.14783382894358,-6576.0823003099395,-0.01767360148495556,30,closed
TECHM,2019-03-31,582.1452026367188,2019-04-30,630.7265014648438,639.1618703101798,31051.31382108212,0.08345220162956779,30,closed
PIDILITIND,2019-03-31,588.419921875,2019-04-30,592.5476684570312,632.346055388021,2610.164268788847,0.007014967421358209,30,closed
ASIANPAINT,2019-03-31,1401.3023681640625,2019-04-30,1369.6163330078125,265.52800092450894,-8413.529572262772,-0.02261184729014909,30,closed
ASTRAZEN,2019-03-31,1929.115234375,2019-08-31,1852.6495361328125,192.87858489694258,-14748.595670109755,-0.03963770379272391,153,closed
MUTHOOTFIN,2019-03-31,533.7520751953125,2019-12-31,679.69482421875,697.1120746897875,101738.45255765948,0.27342797490770154,275,closed
SUVEN,2019-03-31,12.164106369018556,2019-08-31,12.064228057861328,30588.7670842034,-3055.154396752051,-0.00821090412458203,153,closed
BAJAJFINSV,2019-03-31,692.4881591796875,2019-04-30,749.0520629882812,537.3160704294942,30392.694522585494,0.08168212417609944,30,closed
MAHSCOOTER,2019-03-31,3068.393798828125,2019-09-30,3973.14208984375,121.26377541614434,109713.19356985916,0.2948605525670025,183,closed
PRAJIND,2019-03-31,139.74722290039062,2019-10-31,105.14004516601562,2662.5575005136197,-92143.6006482681,-0.24764125551920546,214,closed
UBL,2019-03-31,1339.388671875,2019-05-31,1309.8712158203125,277.802122955471,-8200.01195623701,-0.02203800634909525,61,closed
ICICIBANK,2019-04-30,393.1683349609375,2019-09-30,419.4692687988281,967.029025746668,25433.766425482947,0.06689484248649813,153,closed
BALRAMCHIN,2019-04-30,141.02842712402344,2019-11-30,145.75816345214844,2695.9471906848567,12751.119366488703,0.03353746776148592,214,closed
GODFRYPHLP,2019-04-30,324.58447265625,2019-05-31,274.7274475097656,1171.3597659194559,-58400.51330502636,-0.15360261918408302,31,closed
TTKPRESTIG,2019-04-30,652.7708129882812,2019-07-31,509.8857727050781,582.4482105307312,-83223.13602456311,-0.21889005672465356,92,closed
VIPIND,2019-04-30,456.2764587402344,2019-05-31,428.3222961425781,833.2781247611375,-23293.592188642928,-0.06126584456019679,31,closed
