date,symbol,action,source
2019-12-26,COFFEEDAY,OUT,nse_inclexcl
2013-04-01,COFORGE,IN,nse_inclexcl
2022-05-04,COFORGE,IN,snapshot_diff
2026-05-30,COHANCE,IN,snapshot_diff
1998-08-01,COLPAL,IN,nse_inclexcl
2007-11-29,COLPAL,OUT,nse_inclexcl
2008-12-29,COLPAL,IN,nse_inclexcl
2000-01-12,CONCOR,IN,nse_inclexcl
2024-02-26,CONCORDBIO,IN,snapshot_diff
2005-09-26,CONSOFINVT,IN,nse_inclexcl
2010-04-08,CONSOFINVT,OUT,nse_inclexcl
2011-03-25,COREEDUTEC,IN,nse_inclexcl
2014-09-19,COREEDUTEC,OUT,nse_inclexcl
2002-09-19,COROMANDEL,IN,nse_inclexcl
1998-08-01,COSMOFIRST,IN,nse_inclexcl
2011-10-10,COSMOFIRST,OUT,nse_inclexcl
2011-03-25,COX&KINGS,IN,nse_inclexcl
2018-06-29,COX&KINGS,OUT,nse_inclexcl
2019-03-29,COX&KINGS,IN,nse_inclexcl
2019-12-26,COX&KINGS,OUT,nse_inclexcl
2026-05-30,CPPLUS,IN,snapshot_diff
2023-04-04,CRAFTSMAN,IN,snapshot_diff
2002-03-29,CREATIVEYE,IN,nse_inclexcl
2005-09-26,CREATIVEYE,OUT,nse_inclexcl
2019-01-28,CREDITACC,IN,nse_inclexcl
2000-05-24,CRESTANI,IN,nse_inclexcl
2009-10-22,CRESTANI,OUT,nse_inclexcl
1998-08-01,CRISIL,IN,nse_inclexcl
2016-11-15,CROMPTON,IN,nse_inclexcl
2020-06-26,CSBBANK,IN,nse_inclexcl
2026-05-30,CSBBANK,OUT,snapshot_diff
2002-04-23,CUB,IN,nse_inclexcl
1998-08-01,CUMMINSIND,IN,nse_inclexcl
2000-09-03,CYBERTECH,IN,nse_inclexcl
2005-09-26,CYBERTECH,OUT,nse_inclexcl
2002-01-29,CYIENT,IN,nse_inclexcl
1998-08-01,DABUR,IN,nse_inclexcl
2016-04-01,DALBHARAT,IN,nse_inclexcl
2018-04-02,DALBHARAT,OUT,nse_inclexcl
2019-06-28,DALBHARAT,IN,nse_inclexcl
1998-08-01,DALMIASUG,IN,nse_inclexcl
2010-09-24,DALMIASUG,OUT,nse_inclexcl
2023-04-04,DATAPATTNS,IN,snapshot_diff
2013-06-11,DBCORP,IN,nse_inclexcl
2022-05-04,DBCORP,OUT,snapshot_diff
2017-03-31,DBL,IN,nse_inclexcl
2023-04-04,DBL,OUT,snapshot_diff
2010-09-24,DBREALTY,IN,nse_inclexcl
2018-09-28,DBREALTY,OUT,nse_inclexcl
2018-04-02,DCAL,IN,nse_inclexcl
2022-05-04,DCAL,OUT,snapshot_diff
2011-10-10,DCBBANK,IN,nse_inclexcl
2022-05-04,DCBBANK,OUT,snapshot_diff
2006-05-17,DCHL,IN,nse_inclexcl
2013-01-23,DCHL,OUT,nse_inclexcl
1998-08-01,DCMDAEWOO,IN,nse_inclexcl
2002-09-19,DCMDAEWOO,OUT,nse_inclexcl
2002-01-17,DCMSHRIRAM,IN,nse_inclexcl
1998-08-01,DCW,IN,nse_inclexcl
2015-03-27,DCW,OUT,nse_inclexcl
1998-08-01,DEEPAKFERT,IN,nse_inclexcl
2002-09-19,DEEPAKFERT,OUT,nse_inclexcl
2003-04-01,DEEPAKFERT,IN,nse_inclexcl
2019-09-27,DEEPAKFERT,OUT,nse_inclexcl
2022-10-09,DEEPAKFERT,IN,snapshot_diff
2019-03-29,DEEPAKNTR,IN,nse_inclexcl
2022-10-09,DELHIVERY,IN,snapshot_diff
2011-03-25,DELTACORP,IN,nse_inclexcl
2026-05-30,DELTACORP,OUT,snapshot_diff
2013-04-01,DEN,IN,nse_inclexcl
2019-03-29,DEN,OUT,nse_inclexcl
2019-09-27,DEN,IN,nse_inclexcl
2019-12-27,DEN,OUT,nse_inclexcl
2022-05-04,DEVYANI,IN,snapshot_diff
2011-10-10,DEWANHOUS,IN,nse_inclexcl
2020-06-26,DEWANHOUS,OUT,nse_inclexcl
1998-08-01,DHAMPURSUG,IN,nse_inclexcl
2012-04-27,DHAMPURSUG,OUT,nse_inclexcl
2011-10-10,DHANBANK,IN,nse_inclexcl
2016-04-01,DHANBANK,OUT,nse_inclexcl
2016-04-01,DHANI,OUT,nse_inclexcl
2017-09-29,DHANI,IN,nse_inclexcl
2022-05-04,DHANI,IN,snapshot_diff
2023-04-04,DHANI,OUT,snapshot_diff
2016-04-01,DHANUKA,IN,nse_inclexcl
2018-04-02,DHANUKA,OUT,nse_inclexcl
